my_dates,dt_start,start,label,tp,before_avg,before_density,day_of_week,kind,red_diff,blu_diff,diff_to_first,result
2018-12-05 16:00:00,2018-12-04 23:00:00,113.044,3478,0.2129436483687641,113.43883333333332,113.41696793587174,2,1,0.07394906795940415,0.1289824760491456,0.3012990848065158,0.0
2018-12-05 16:00:00,2018-12-05 04:00:00,113.032,3478,0.2250941759733536,113.28229166666668,113.37448697394792,2,1,0.043108680950197716,0.11898905107487677,0.2655940161316721,0.0
2018-12-05 17:00:00,2018-12-05 05:00:00,113.0,3748,0.24888025711256034,113.25504166666668,113.05084368737477,2,1,0.16523631198752753,0.09997277675888938,0.2967621284047937,0.0
2018-12-05 17:00:00,2018-12-05 02:00:00,113.028,3748,0.2783406682249989,113.336125,113.40234869739479,2,1,0.1848074266536344,0.11055747267336358,0.2802634571264093,0.0
2018-12-05 18:00:00,2018-12-04 19:00:00,112.992,3478,0.7332034810704897,113.57216666666667,113.77357314629259,2,1,0.4005366470383933,0.28428387332488114,0.20731783736410134,1.0
2018-12-05 19:00:00,2018-12-04 20:00:00,112.978,3478,0.5094858500488044,113.537375,113.41692184368738,2,1,0.19455749881454665,0.0747836812429199,0.2517993420885887,1.0
2018-12-05 20:00:00,2018-12-04 21:00:00,113.088,3478,0.4502261916235284,113.50058333333334,113.42901803607214,2,1,0.2145250227748221,0.03978681163711428,0.20339002278780072,1.0
2018-12-05 21:00:00,2018-12-04 22:00:00,113.057,3478,0.4474421602090644,113.47075,113.42385370741484,2,1,0.20148569676726424,0.11918331265795246,0.2394352985066348,1.0
2018-12-06 02:00:00,2018-12-05 23:00:00,113.44,3478,0.1315477393593767,113.17845833333334,113.07094589178357,3,0,0.030085157033866494,0.0614755220015013,0.2173064767354873,0.0
2018-12-06 03:00:00,2018-12-06 01:00:00,113.364,3748,0.060637149119031626,113.21220833333334,113.09150701402805,3,0,0.04113972876717753,0.05089522000275792,0.19799016625384525,0.0
2018-12-06 05:00:00,2018-12-05 22:00:00,113.476,3478,0.3943280941987409,113.161,113.0657254509018,3,0,0.18983281006708808,0.03331451422715759,0.016903750278714824,1.0
2018-12-06 05:00:00,2018-12-06,113.412,3478,0.11330693750083752,113.19495833333332,113.07917034068136,3,0,0.0016016957736439965,0.09019274010670132,0.2227356632733546,1.0
2018-12-06 11:00:00,2018-12-06 05:00:00,113.076,3748,0.3269109205509864,113.24758333333334,113.18219639278557,3,1,0.2784793239656125,0.16703260391068395,0.08546922409912837,0.0
2018-12-06 23:00:00,2018-12-06 06:00:00,113.057,3748,0.4318901303463037,113.25075,113.17028857715431,3,1,0.2721247283293309,0.2705335709914181,0.0046296022759406705,1.0
2018-12-07 03:00:00,2018-12-06 11:00:00,112.931,3478,0.5945724839253756,113.26025,113.19514228456914,4,1,0.22608819797733304,0.33221454077718704,0.031086545313726788,1.0
2018-12-07 05:00:00,2018-12-07,113.467,3748,0.264763277413806,113.23125,113.215124248497,4,0,0.15672029460444034,0.2254131034899132,0.03110836727887545,0.0
2018-12-07 05:00:00,2018-12-06 12:00:00,112.99,3478,0.6047068185014552,113.251,113.20841482965929,4,1,0.24816333625676634,0.27631411555135804,0.0019324095951276374,1.0
2018-12-07 06:00:00,2018-12-07 02:00:00,113.498,3748,0.3036213690857608,113.23779166666668,113.20598196392784,4,0,0.2736335885119701,0.13033129537571142,0.0031121810842194013,0.0
2018-12-07 07:00:00,2018-12-07 03:00:00,113.522,3748,0.3478773822147474,113.24870833333333,113.19688777555108,4,0,0.2340863773489445,0.19538888868964926,0.032939602781155486,0.0
2018-12-07 15:00:00,2018-12-07 04:00:00,113.56,3748,0.33330999124981986,113.26254166666666,113.41422244488979,4,0,0.1711035646873711,0.20886494938650912,0.07639588816164178,0.0
2018-12-10 00:00:00,2018-12-10,113.689,3748,0.14858396558641118,113.62054166666668,113.58233266533064,0,0,0.08595040689905886,0.09500313416508276,0.015416950024089715,0.0
2018-12-10 07:00:00,2018-12-10 04:00:00,113.723,3478,0.21525474197920852,113.647,113.6061763527054,0,0,0.009205301407988031,0.12486325920710327,0.058668948728708877,0.0
2018-12-12 02:00:00,2018-12-12,114.128,3748,0.21745375695455493,114.32483333333332,114.31984769539078,2,1,0.1081281727936272,0.1563810973251094,0.17301617236114453,0.0
2018-12-12 05:00:00,2018-12-12 01:00:00,114.139,3478,0.19725276883610832,114.31591666666668,114.30705611222444,2,1,0.11442206932662202,0.04916280826371633,0.2311973873762412,0.0
2018-12-12 07:00:00,2018-12-11 08:00:00,114.363,3478,0.469729602175633,114.16716666666666,114.31172144288576,2,0,0.1322968893330767,0.1599188556983222,0.06120114160835044,0.0
2018-12-12 08:00:00,2018-12-11 09:00:00,114.341,3478,0.4848980555889568,114.19233333333334,114.32167134268536,2,0,0.17652168565945206,0.16747373795357134,0.03777568867351988,1.0
2018-12-12 09:00:00,2018-12-11 10:00:00,114.495,3478,0.6397390296246073,114.21025,114.32525450901804,2,0,0.19469544180792295,0.3134596105259817,0.15662888518457407,1.0
2018-12-12 09:00:00,2018-12-12 02:00:00,114.291,3478,0.20527736506032568,114.3065,114.2736012024048,2,1,0.11733599426428044,0.023741294771625118,0.061761502361619584,0.0
2018-12-12 09:00:00,2018-12-11 23:00:00,114.162,3478,0.1750164867560784,114.33533333333334,114.33460721442886,2,1,0.09369671297383776,0.07792746864993205,0.17418608942011815,0.0
2018-12-12 10:00:00,2018-12-11 11:00:00,114.527,3478,0.6601904566810504,114.238125,114.33211422845692,2,0,0.17407036951263422,0.2475681656650721,0.16351217061931322,1.0
2018-12-12 11:00:00,2018-12-11 12:00:00,114.556,3478,0.6668742242233066,114.26466666666668,114.33576953907816,2,0,0.1882411514898905,0.19495919383921034,0.18426785780968655,1.0
2018-12-12 12:00:00,2018-12-11 13:00:00,114.555,3478,0.7442851437329523,114.293875,114.33860521042084,2,0,0.1956403175415744,0.17122373952844328,0.15211586858495707,1.0
2018-12-12 13:00:00,2018-12-12 07:00:00,114.312,3478,0.3761527889432301,114.30641666666666,114.27556913827655,2,0,0.03839804640294631,0.1905563398753003,0.03632988708747576,1.0
2018-12-12 13:00:00,2018-12-11 14:00:00,114.497,3478,0.7349668548942248,114.32208333333334,114.34086573146291,2,0,0.17303877859639272,0.1138291681327246,0.09870224020120588,1.0
2018-12-12 14:00:00,2018-12-11 15:00:00,114.424,3478,0.7276724905374152,114.34329166666666,114.345498997996,2,0,0.12564784325005007,0.08760566775652022,0.025067417309216463,1.0
2018-12-13 10:00:00,2018-12-13 09:00:00,114.289,3478,0.3498226696917044,114.08858333333332,114.12617034068136,3,0,0.1212643298257774,0.0965579441805886,0.1357379549296951,0.0
2018-12-13 10:00:00,2018-12-13,113.987,3478,0.30506559184627235,114.1365,114.07125651302609,3,1,0.1123849294243513,0.19251421843515004,0.033228176396633564,1.0
2018-12-13 10:00:00,2018-12-13 08:00:00,114.156,3478,0.3117013433904816,114.09158333333332,114.12176953907816,3,0,0.09388937985377764,0.07108540209944181,0.008834863705487805,0.0
2018-12-13 10:00:00,2018-12-12 23:00:00,113.997,3478,0.2732190958274145,114.143375,114.11490981963928,3,1,0.0909359114839674,0.1630131065836622,0.050261712506511465,1.0
2018-12-14 09:00:00,2018-12-13 10:00:00,114.346,3478,0.4337576690967211,114.095375,114.12323647294588,4,0,0.1552901883400466,0.15531732142193275,0.1474293516660481,0.0
