my_dates,dt_start,start,label,tp,before_avg,before_density,day_of_week,kind,red_diff,blu_diff,diff_to_first,result
2018-12-04 04:00:00,2018-12-03 05:00:00,1.06577,3478,0.007167021629723712,1.0510633333333337,1.0516449098196392,1,0,0.00011087149622479585,0.0013871013443560456,0.00637290467790641,1.0
2018-12-04 05:00:00,2018-12-03 06:00:00,1.06594,4378,0.007382929052459408,1.0509,1.0516035470941882,1,0,-9.47005062390538e-05,0.0011883720890437655,0.006465619627383124,1.0
2018-12-04 06:00:00,2018-12-03 07:00:00,1.0656,4378,0.007953155809624635,1.05074625,1.051572885771543,1,0,-0.0003464949861982092,0.0015057356015339973,0.0059171821112185,0.0
2018-12-04 07:00:00,2018-12-03 08:00:00,1.06599,3478,0.008242362414788262,1.0505779166666669,1.051496132264529,1,0,0.00021700417921333148,0.0015701238397438644,0.0059926988959648755,1.0
2018-12-04 08:00:00,2018-12-03 09:00:00,1.06609,3478,0.008493297976266856,1.0504283333333333,1.0514243086172343,1,0,7.97275287820476e-05,0.001854091337295527,0.006026491716100146,0.0
2018-12-04 09:00:00,2018-12-03 10:00:00,1.06662,3478,0.008490671101486269,1.050269583333333,1.0513114428857715,1,0,7.442652512290593e-05,0.00206907548662727,0.00677264622986673,0.0
2018-12-04 10:00:00,2018-12-03 11:00:00,1.06647,4378,0.008465179966421044,1.0501708333333333,1.0513627454909822,1,0,-4.582976313183274e-05,0.0019796564133798267,0.006728931005384632,0.0
2018-12-04 11:00:00,2018-12-03 12:00:00,1.06587,3478,0.010341622380781956,1.0500791666666671,1.04918751503006,1,0,0.002777539673724405,0.00418426031061081,0.006602374144207611,0.0
2018-12-05 02:00:00,2018-12-05 02:00:00,1.05314,3478,0.0052114578796622615,1.0599433333333332,1.059156873747495,2,1,0.0002670341092343431,0.0005303778580296736,0.003370460656985319,0.0
2018-12-07 02:00:00,2018-12-06 03:00:00,1.05146,4378,0.006838671024861354,1.05383875,1.053944488977956,4,1,-0.0002259630243079957,0.00029560460622723994,4.250596947685814e-05,0.0
2018-12-07 07:00:00,2018-12-06 08:00:00,1.05099,3478,0.0068910836763989005,1.0532395833333332,1.053829619238477,4,1,0.0009721915677936009,0.00037752810415092597,0.0009450043448462342,0.0
2018-12-07 09:00:00,2018-12-07,1.05092,4378,0.0036871754637122227,1.0508529166666667,1.051702144288577,4,1,-0.0010042248505721665,0.0007466434703984338,0.0005643279457543393,0.0
2018-12-07 10:00:00,2018-12-06 11:00:00,1.04906,3478,0.007073254185742561,1.05299125,1.0537992184368736,4,1,0.0008450923188263459,0.001052074270689651,0.002087539488274448,0.0
2018-12-07 11:00:00,2018-12-07 01:00:00,1.0509700000000002,4378,0.004068788468141849,1.0507254166666666,1.051625891783567,4,1,-0.0005660580235977707,0.00030070287050798505,0.0005065034229676524,0.0
