my_dates,dt_start,start,label,tp,before_avg,before_density,day_of_week,kind,red_diff,blu_diff,diff_to_first,result
2018-12-11 18:00:00,2018-12-10 19:00:00,1.5803200000000002,3478,0.011521669545877078,1.5746416666666667,1.5738384168336674,1,0,0.0017570002299007734,0.0036503548806163795,0.004562676401506538,1.0
2018-12-11 19:00:00,2018-12-10 20:00:00,1.58017,3478,0.01144334664544222,1.5748525,1.5737748897795591,1,0,0.002186170633129203,0.002106979632225947,0.0043608096104676974,1.0
2018-12-12 17:00:00,2018-12-11 18:00:00,1.5702,4378,0.012076554659350423,1.57829875,1.579082745490982,2,1,-0.0017081202988908915,0.0026209583699392525,0.0002727018928065928,1.0
2018-12-12 20:00:00,2018-12-11 21:00:00,1.5719,3478,0.012371598939406205,1.5771454166666667,1.5787795591182363,2,1,0.004118176460586431,0.0016733214112933936,0.0005865405299090298,1.0
2018-12-12 21:00:00,2018-12-11 22:00:00,1.57218,3478,0.008741380282617062,1.5768183333333334,1.5786904208416834,2,1,0.0007309634200676207,0.0014667118404041446,0.00034647586720826235,1.0
2018-12-12 22:00:00,2018-12-11 23:00:00,1.5712700000000002,4378,0.010690995141163121,1.5764925,1.578578997995992,2,1,-0.0018971091353083835,0.0014999009184712975,0.0010817438602197527,1.0
2018-12-12 23:00:00,2018-12-12,1.57163,3478,0.011790744072458505,1.5761541666666667,1.5784898597194388,2,1,0.0009515700832651851,0.002490591429686661,0.0004089588816165168,1.0
2018-12-13 00:00:00,2018-12-12 01:00:00,1.56955,3478,0.010866560130086134,1.5758854166666667,1.5785344288577154,3,1,0.002659235874570287,0.0021216916450081946,0.0030153713065723675,1.0
2018-12-13 01:00:00,2018-12-12 02:00:00,1.5681200000000002,4378,0.009506466097477295,1.57549,1.578442364729459,3,1,-0.003414255033481917,0.0029217196882553864,0.0035693921775561406,1.0
2018-12-13 02:00:00,2018-12-12 03:00:00,1.56746,3478,0.009072147702485324,1.5749808333333333,1.5782514629258515,3,1,0.00026338796628078137,0.0008388754314805348,0.0017182653629153055,1.0
2018-12-13 23:00:00,2018-12-13,1.57611,4378,0.009858068566984679,1.571592916666667,1.5725894989979958,3,0,-0.0013484962471637107,0.0017923319443589047,0.00010867709336470632,1.0
2018-12-14 23:00:00,2018-12-14 03:00:00,1.57894,3478,0.008941688918263857,1.5722125,1.5726515430861725,4,0,0.0004591690603843457,0.0012473167874942348,0.005788378052806964,0.0
2018-12-14 23:00:00,2018-12-14 04:00:00,1.58096,3478,0.014652822644803052,1.5724516666666666,1.5724290981963929,4,0,0.0030902318927290558,0.0014613481266712025,0.003049233080693936,1.0
2018-12-18 09:00:00,2018-12-17 10:00:00,1.57746,3478,0.012347378638138728,1.5745241666666667,1.5722731663326652,1,0,0.002979286450103924,0.0013397605842424554,0.00028716110812698764,0.0
2018-12-18 10:00:00,2018-12-17 11:00:00,1.57757,3478,0.012400737693958773,1.5747229166666667,1.5722197394789579,1,0,0.0029422164931331984,0.003007315833489121,0.0002522325525484703,0.0
2018-12-18 11:00:00,2018-12-17 12:00:00,1.57998,3478,0.012565811558817641,1.5748995833333332,1.5721930260521042,1,0,0.0028708729578326157,0.002861997021634366,0.0025144672632140264,0.0
2018-12-18 12:00:00,2018-12-17 13:00:00,1.58094,3478,0.01321303061563972,1.5750433333333334,1.5721395991983969,1,0,0.003229818093041459,0.003181671350358073,0.0032328077295877837,0.0
2018-12-18 13:00:00,2018-12-17 14:00:00,1.58004,3478,0.013020793642520623,1.5750583333333332,1.5721128857715432,1,0,0.002754511975455287,0.0030088591648711467,0.002520782620383688,0.0
2018-12-18 14:00:00,2018-12-17 15:00:00,1.58058,3478,0.014694455036016185,1.5751804166666667,1.5720594589178356,1,0,0.0040664911239045596,0.0030458388822951488,0.001386613250439872,0.0
2018-12-18 16:00:00,2018-12-17 17:00:00,1.57845,4378,0.0119728331933866,1.5757108333333334,1.5762285571142285,1,0,-0.0007405544070584469,0.0052327565464629355,0.0019753063659411207,0.0
2018-12-18 18:00:00,2018-12-17 19:00:00,1.58076,3478,0.01173925069747117,1.5760625,1.5755384168336672,1,0,0.0016730062448728766,0.003994438906320674,0.00285235963421826,0.0
2018-12-18 19:00:00,2018-12-17 20:00:00,1.58185,3478,0.011548575031231191,1.5762004166666668,1.5752576152304612,1,0,0.0016719897626960025,0.001950213640659948,0.004102003719045566,0.0
2018-12-19 17:00:00,2018-12-18 20:00:00,1.58441,3478,0.013122805429927498,1.5807783333333334,1.5809421242484971,2,0,0.0017729023921351226,0.002003640759508541,0.00043310734821999647,0.0
2018-12-20 21:00:00,2018-12-20 08:00:00,1.60734,3478,0.013281643583455738,1.594055,1.599636513026052,3,0,0.0019750154737363523,0.002216435143816975,0.0021787361057257204,0.0
2018-12-21 06:00:00,2018-12-20 07:00:00,1.60658,3748,0.02430895067112515,1.5930541666666669,1.5994008416833667,4,0,0.013726766884602616,0.0136439747174113,0.002267864567596867,0.0
2018-12-21 10:00:00,2018-12-20 11:00:00,1.6075700000000002,3478,0.014530359620249069,1.5967908333333334,1.6008357114228458,4,0,0.0032544609626645733,0.002353101586384021,0.0001663633016883992,0.0
2018-12-27 16:00:00,2018-12-27 01:00:00,1.60578,3478,0.014118176194850118,1.6110221739130437,1.6096009218436875,3,1,0.0018109325534987344,0.0010102345859888118,0.0036741552691446078,1.0
2018-12-27 16:00:00,2018-12-26 23:00:00,1.60586,3478,0.013246473183565087,1.6107033333333334,1.609496973947896,3,1,0.0007383460273640008,0.0009735498129801458,0.002184701850222348,1.0
2018-12-27 16:00:00,2018-12-27 02:00:00,1.607,3487,0.013803367578598458,1.6110772727272726,1.6095685771543091,3,1,0.0005023997304178796,-0.003074990597982108,0.0032539578532431172,1.0
2018-12-27 16:00:00,2018-12-26 22:00:00,1.60558,3478,0.014571281927841184,1.6105754166666666,1.6095508416833668,3,1,0.0009158888068971917,0.0016978063590027404,0.0013684901726684904,1.0
2018-12-27 17:00:00,2018-12-27,1.60653,3487,0.011993009211041185,1.6146975,1.6129801002004007,3,1,0.0018203442805897476,-0.00118860876556659,0.0075264482966102,1.0
2018-12-27 19:00:00,2018-12-27 03:00:00,1.61112,3487,0.017216272968068713,1.6111557142857142,1.609665611222445,3,1,0.007942155942915141,-0.0011118447267410847,0.0003162743446980532,1.0
2018-12-28 15:00:00,2018-12-27 16:00:00,1.62564,3478,0.01919933385241901,1.6124808333333334,1.6141225250501003,4,0,0.0017449075094371216,0.008763864049518011,0.0018773710391351008,0.0
2018-12-28 17:00:00,2018-12-27 18:00:00,1.62572,3478,0.014090148697711413,1.613227083333333,1.6135396793587171,4,0,0.0011669536002190115,0.0044673244105049035,0.0019707069710257485,0.0
2018-12-28 18:00:00,2018-12-27 19:00:00,1.62832,3478,0.01245999572738832,1.6137375,1.6132485370741485,4,0,0.0006821013958755451,0.0019849985774640366,0.00594126412563889,0.0
2018-12-28 19:00:00,2018-12-27 20:00:00,1.6305,4378,0.010860402969060656,1.61449875,1.6139195190380762,4,0,-0.00019548234742328138,0.0008213901627944775,0.008092822207981909,0.0
2018-12-28 20:00:00,2018-12-27 21:00:00,1.63065,4378,0.008900485117025571,1.615375,1.6143194789579158,4,0,-8.185213060452057e-06,0.0010786325932066188,0.00870355592825578,0.0
2018-12-28 21:00:00,2018-12-27 22:00:00,1.62622,3478,0.010251798071190256,1.6163,1.6146735270541082,4,0,0.0012973410553624998,0.0020114785947067393,0.002076795298641576,1.0
2018-12-28 22:00:00,2018-12-27 23:00:00,1.62571,3478,0.009695634056120284,1.61716,1.6149505010020042,4,0,0.001778423345966118,0.0018618422437239879,0.0009115768346139586,0.0
2018-12-31 20:00:00,2018-12-31 01:00:00,1.62387,3478,0.013879859160683015,1.6243934782608695,1.6247312224448898,0,1,0.0043558811360204786,0.0020305154070112685,0.0007941598524854321,1.0
2018-12-31 20:00:00,2018-12-31,1.62401,3478,0.012600594604827098,1.62446,1.6247437875751505,0,1,0.0035841392745947775,0.0024178613181617963,0.0006195826362240807,1.0
2019-01-03 00:00:00,2019-01-03,1.64932,3487,0.011371025534771206,1.6217257142857142,1.6231524248496991,3,0,0.0032683191276128287,-0.00017108193828407894,0.01806553395764121,0.0
2019-01-03 00:00:00,2019-01-02 19:00:00,1.61951,3478,0.016738749315554642,1.62520125,1.6247596593186373,3,1,0.003330710307104079,0.004342073881425046,0.0012066240974488718,1.0
2019-01-03 00:00:00,2019-01-02 22:00:00,1.62061,3487,0.011906919382257852,1.6245241666666668,1.6246989579158315,3,1,0.003615266195177824,-0.00021442036266350328,0.0011107812275230609,1.0
2019-01-03 00:00:00,2019-01-02 21:00:00,1.62084,3487,0.01280273721180869,1.6248216666666666,1.6247596593186373,3,1,0.00434786237784346,-0.0007007253500941335,0.0009327598707360439,1.0
2019-01-03 00:00:00,2019-01-02 20:00:00,1.61983,3478,0.015961801458866498,1.6250595833333332,1.6247596593186373,3,1,0.003664218588036894,0.004095324472954687,0.001775802253282999,1.0
2019-01-03 09:00:00,2019-01-03 06:00:00,1.6372,4378,0.003543904032760281,1.6219841666666666,1.6254114428857716,3,0,-0.0009012330672448775,0.0008566956564504125,0.002904894482306686,0.0
2019-01-03 09:00:00,2019-01-03 05:00:00,1.6389900000000002,4837,0.002876361724701626,1.6214479166666669,1.6254512024048096,3,0,-0.002568601849113339,-0.0021312413494782856,0.004687265372145033,0.0
2019-01-03 09:00:00,2019-01-03 04:00:00,1.63648,4837,0.008763931356056132,1.624352,1.6247312224448898,3,0,-0.0009566130225511227,-0.008405797567740736,0.00474325262207964,0.0
2019-01-03 16:00:00,2019-01-03 12:00:00,1.63135,7834,0.013258290754034173,1.6306604166666667,1.6347435671342685,3,1,0.0003808679825731964,0.012425358800165265,0.002596866774273509,0.0
2019-01-03 16:00:00,2019-01-03 11:00:00,1.63365,7843,0.012144863476079905,1.6304975,1.6345046092184368,3,1,-0.0010132368387392177,0.010711254162704131,0.00016818468970147826,0.0
2019-01-03 18:00:00,2019-01-03 02:00:00,1.63636,3487,0.010407001863911748,1.6243772727272727,1.6247216032064131,3,0,0.0033646731779337635,-0.0006469191539772988,0.0022152013789791263,1.0
2019-01-03 18:00:00,2019-01-03 10:00:00,1.63343,7843,0.012832520406248049,1.6303983333333334,1.6342059118236472,3,1,-0.0009707666022082949,0.01108545039458475,9.322720343263312e-06,0.0
2019-01-04 02:00:00,2019-01-03 03:00:00,1.63583,3487,0.01469916794871273,1.6243795238095238,1.6247600801603208,4,0,0.006067789689686132,-0.004251303829654107,0.00013795026100438257,1.0
2019-01-04 12:00:00,2019-01-04 04:00:00,1.62296,4837,0.011571222667001946,1.6300470833333334,1.6267519238476953,4,1,-0.0038968704447948093,-0.009003543872614372,0.002512363191134126,0.0
2019-01-10 01:00:00,2019-01-09 05:00:00,1.59915,4378,0.011253763550708621,1.6036804166666667,1.6031476953907815,3,1,-0.00015943180521005296,0.0007213591815695697,0.0004152934719918733,1.0
2019-01-11 02:00:00,2019-01-10 03:00:00,1.61315,3478,0.01520304550676932,1.60376625,1.6008268737474949,4,0,0.0028747694562611947,0.0020226632999647,0.0019914958965556733,1.0
2019-01-14 23:00:00,2019-01-14,1.58987,3478,0.014468985011812709,1.5961991666666666,1.5968072745490982,0,1,0.00438794077047433,0.0008579081312756197,0.005379772573174346,0.0
2019-01-15 00:00:00,2019-01-14 01:00:00,1.59114,3478,0.014723820965834909,1.5960169565217392,1.596632765531062,1,1,0.0052912355836070004,0.001341690879657076,0.0041993852030886005,0.0
2019-01-15 01:00:00,2019-01-14 02:00:00,1.5896,3478,0.0147902384894274,1.5957872727272728,1.5965829058116232,1,1,0.005456861339646846,0.002150896382744349,0.005715394824904019,0.0
2019-01-15 02:00:00,2019-01-14 03:00:00,1.5914700000000002,3478,0.015384149995522291,1.595562380952381,1.5965081162324648,1,1,0.0053014049349191525,0.0030823449651182773,0.0031518145913214113,0.0
2019-01-15 18:00:00,2019-01-14 21:00:00,1.59266,3487,0.015217879339180397,1.5974891666666666,1.5999611823647295,1,1,0.0039263670340230475,-0.00020402163966659612,0.0015141357950423373,0.0
2019-01-16 17:00:00,2019-01-15 18:00:00,1.5839,3487,0.01391357975281027,1.5909195833333334,1.5925279158316632,2,1,0.0006683451961426723,-0.0005305882364283754,0.002664021239876746,1.0
2019-01-16 18:00:00,2019-01-15 19:00:00,1.5851,3487,0.015008956651684446,1.5904758333333333,1.5923546693386772,2,1,0.0015705532861203242,-0.0008200987635205159,0.0014772456964078364,1.0
2019-01-16 19:00:00,2019-01-15 20:00:00,1.58513,3487,0.015489368445450012,1.59015,1.5921494589178355,2,1,0.0015097061408333445,-0.0009938937944966586,0.0014424038794271787,1.0
2019-01-16 20:00:00,2019-01-15 21:00:00,1.58484,3487,0.018321311154765985,1.5898525,1.5920058116232465,2,1,0.004480324336016306,-0.0022520452236103328,0.0013842045180747498,1.0
2019-01-16 21:00:00,2019-01-15 22:00:00,1.58501,3487,0.019636906923714115,1.5895266666666668,1.589030260521042,2,1,0.0029909543543642503,-0.002152809286384283,0.0011664638778585699,1.0
2019-01-16 22:00:00,2019-01-15 23:00:00,1.58412,3487,0.01936212079083744,1.5891804166666668,1.588886613226453,2,1,0.0022577336108515755,-0.00577773280370808,0.0019924985790096272,1.0
2019-01-16 23:00:00,2019-01-16,1.58376,3478,0.01600027803683557,1.5888004166666667,1.5888250501002004,2,1,0.004490812812122158,0.0002916216160622209,0.005027626277467778,1.0
2019-01-17 00:00:00,2019-01-16 01:00:00,1.58372,3478,0.016893566546259287,1.5883679166666669,1.5887894789579158,3,1,0.005743486662200814,0.0015055226347386874,0.004944992694602801,1.0
2019-01-17 01:00:00,2019-01-16 02:00:00,1.58523,3478,0.017781942574565338,1.5879625,1.5887339078156313,3,1,0.005326295503750743,0.003396911430971539,0.0018418724340343309,1.0
2019-01-17 02:00:00,2019-01-16 03:00:00,1.5844,3478,0.018554793641610168,1.5876708333333334,1.5884951503006013,3,1,0.005951578868474528,0.004233269308508758,0.0014274582273408054,1.0
2019-01-17 03:00:00,2019-01-16 04:00:00,1.58342,3478,0.01936514529605393,1.58736375,1.5848796793587174,3,1,0.0015197965631512653,0.004550400053459747,0.001913525723453047,1.0
2019-01-17 04:00:00,2019-01-16 05:00:00,1.5840299999999998,3478,0.01740732588873195,1.5869983333333333,1.5846735270541084,3,1,0.0012817930553787882,0.001777069744407722,0.0012412916340025506,1.0
2019-01-18 20:00:00,2019-01-17 21:00:00,1.58159,3487,0.018656243975470943,1.5894479166666666,1.5895786573146293,4,1,0.0036834879314107116,-0.0012064473578687895,0.0031901967966385674,0.0
2019-01-18 21:00:00,2019-01-17 22:00:00,1.58266,3487,0.01982809467084889,1.5892029166666666,1.5897546492985972,4,1,0.0034158918427154017,-0.0011066856594859065,0.002354122318735552,1.0
2019-01-18 22:00:00,2019-01-17 23:00:00,1.58314,3487,0.019630925320709425,1.5889770833333334,1.5898157314629258,4,1,0.0029650309080140325,-0.0009352685894248315,0.002169685116554021,1.0
2019-01-22 09:00:00,2019-01-21 10:00:00,1.58787,3487,0.012827884910537437,1.5861979166666669,1.5838384969939885,1,0,0.004308082280387815,-0.004234367139466677,0.0007330662405922173,0.0
2019-01-22 10:00:00,2019-01-21 11:00:00,1.58911,3487,0.013131632670483784,1.5860579166666666,1.583857234468938,1,0,0.0019102870544607238,-0.0038674509060379063,0.0019127845862429995,0.0
2019-01-22 11:00:00,2019-01-21 12:00:00,1.58912,3487,0.013397761711015031,1.5858966666666667,1.5839321843687375,1,0,0.0014587301945354625,-0.0034528937606359555,0.0019222957449225309,0.0
2019-01-22 12:00:00,2019-01-21 13:00:00,1.58853,3487,0.01661943307576097,1.585692916666667,1.5840071342685371,1,0,0.0020081501048843102,-0.006173049901645689,0.0006433467044664187,0.0
2019-01-22 13:00:00,2019-01-21 14:00:00,1.58928,3487,0.016758431249481953,1.58554375,1.5841008216432866,1,0,0.0018985893125571531,-0.0066579347304243095,0.0013640999782804641,0.0
2019-01-22 20:00:00,2019-01-22 07:00:00,1.59105,4387,0.008607905115757042,1.5887183333333337,1.5882168537074148,1,0,-5.445891475264197e-05,-0.002615469632576417,0.0015736562301391646,0.0
2019-01-23 07:00:00,2019-01-22 08:00:00,1.59129,3487,0.008832347322334844,1.58889375,1.5882593386773547,2,0,0.0006321843098811009,-0.0016216868228571268,0.00040979441437061226,0.0
2019-01-23 08:00:00,2019-01-22 09:00:00,1.59279,3487,0.009307558132717995,1.5890979166666668,1.5882585971943888,2,0,0.0026356347913116807,-0.0016355413748456724,0.0016229154588089931,0.0
2019-01-23 09:00:00,2019-01-22 10:00:00,1.59296,3487,0.010336048871753656,1.5893216666666667,1.5883813426853708,2,0,0.001105535255144341,-0.0016438189375389545,0.0008672716465967233,0.0
2019-01-23 10:00:00,2019-01-22 11:00:00,1.5944,3487,0.011385225438282907,1.58953375,1.5884906613226453,2,0,0.0010418953753255078,-0.002339059049348391,0.0024479629109148693,0.0
2019-01-23 11:00:00,2019-01-22 12:00:00,1.59503,3487,0.011425714616891458,1.5897541666666668,1.588515731462926,2,0,0.0004040722352600668,-0.0015683712991314547,0.002927864737418684,1.0
2019-01-23 12:00:00,2019-01-22 13:00:00,1.59426,3487,0.012954460305214964,1.5900004166666666,1.588552164328657,2,0,0.0012060618027924794,-0.0023474436518076125,0.0012290555815837045,1.0
2019-01-24 16:00:00,2019-01-24 07:00:00,1.60215,3487,0.007483131000905362,1.5937333333333332,1.5929677955911823,3,0,0.0005685738543415031,-0.0008265471432957749,0.0067259148640070885,0.0
2019-01-24 16:00:00,2019-01-24 08:00:00,1.60295,4387,0.007359631534271216,1.5941229166666666,1.5929508817635267,3,0,-0.0003210710389782712,-0.0002162324150640771,0.00695043313030097,0.0
2019-01-24 17:00:00,2019-01-24 09:00:00,1.60195,3478,0.008499902239507806,1.5945441666666669,1.5929470340681362,3,0,0.0028588316367546,0.0006195794884433782,0.0054501602266427964,0.0
2019-01-25 09:00:00,2019-01-24 10:00:00,1.60049,3478,0.009272783752592106,1.594925,1.5929735671342686,4,0,0.0025579951523706512,0.0004707640411805159,0.0035109209954744536,1.0
2019-01-25 10:00:00,2019-01-24 11:00:00,1.59858,3487,0.009940032187692792,1.59526,1.5930531663326652,4,0,0.0016485780682029552,-0.00044428715756472664,0.0018432539862034414,1.0
2019-01-25 11:00:00,2019-01-24 12:00:00,1.59914,3478,0.010335813496689994,1.5956295833333334,1.5932124448897795,4,0,0.0009277868722468164,0.00040327335230871947,0.00211315275317836,1.0
2019-01-25 12:00:00,2019-01-24 13:00:00,1.59849,3487,0.011080014487439671,1.5959745833333334,1.5933908817635272,4,0,0.0014693720091003561,-0.00020018493832929532,0.0006723216266244503,1.0
2019-01-25 15:00:00,2019-01-24 16:00:00,1.60143,3487,0.011436357178088441,1.596555416666667,1.5945634669338675,4,0,0.001515488733421444,-0.0004095639493399972,0.002389757843265672,1.0
2019-01-28 18:00:00,2019-01-28 02:00:00,1.58857,3478,0.005651420075351688,1.5927295454545454,1.5947402204408816,0,1,0.0011593357348649302,0.0016642422460553252,0.0019898934170166087,1.0
2019-01-28 18:00:00,2019-01-28 01:00:00,1.58974,3478,0.005683761316337188,1.592828695652174,1.594786392785571,0,1,0.0007883544980902267,0.002190771543658432,0.0008872167640310291,1.0
2019-01-28 18:00:00,2019-01-28 03:00:00,1.58616,3478,0.005848865801509895,1.5925866666666666,1.5946170941883766,0,1,0.0019634388782472367,0.001683084122240608,0.00427265250042419,1.0
2019-01-28 18:00:00,2019-01-28 04:00:00,1.58638,3478,0.005269642436698696,1.5924105,1.594503266533066,0,1,0.0020819329056311893,0.0020725424100183076,0.004372538278078597,1.0
2019-01-28 19:00:00,2019-01-28 06:00:00,1.58515,3748,0.005033470907721328,1.5972025,1.5950794188376751,0,1,0.002696027649227606,0.002456712268359196,0.0065603727159655465,1.0
2019-01-29 02:00:00,2019-01-28 11:00:00,1.5880299999999998,3478,0.008833523144151645,1.5957395833333334,1.5947997194388777,1,1,0.0028585501428257665,8.60754430775934e-05,0.0007258552023767795,1.0
2019-01-29 02:00:00,2019-01-28 10:00:00,1.58673,3478,0.008791197596982325,1.5959966666666667,1.5948885971943887,1,1,0.0031386753485918018,0.001165208114498606,0.0026375446680078074,1.0
2019-01-29 02:00:00,2019-01-28 09:00:00,1.58697,3478,0.008501678002553525,1.5963075,1.5949686573146291,1,1,0.004419347177333277,0.0014370131251784102,0.002911384284220997,1.0
2019-01-29 02:00:00,2019-01-28 08:00:00,1.58692,3478,0.007605952673159111,1.5966654166666667,1.5950794188376751,1,1,0.003611721349422004,0.0007792605103449367,0.004098806083124629,1.0
2019-01-29 02:00:00,2019-01-28 07:00:00,1.58671,3478,0.007408347458657927,1.5969583333333333,1.5951210621242484,1,1,0.0033047496586808838,0.0006169497811310265,0.004182644102682431,1.0
2019-01-29 04:00:00,2019-01-28 05:00:00,1.58564,3478,0.012939808899166794,1.5974745833333333,1.5951670741482966,1,1,0.010149648010156165,0.002490826418372283,0.0059445438991267965,1.0
2019-01-29 18:00:00,2019-01-29 04:00:00,1.59658,3478,0.004984126952925383,1.5916695833333334,1.5948768136272546,1,0,0.0018244262951139234,0.0017558448626884269,0.000596693930545289,0.0
2019-01-29 23:00:00,2019-01-29,1.59572,3487,0.0115542865538123,1.5902991666666666,1.5875571743486974,1,0,0.003726224344057894,-0.0019136012549434427,0.002000347475985542,0.0
2019-01-30 02:00:00,2019-01-29 03:00:00,1.5968,3478,0.005535045972473007,1.59122625,1.5946600601202403,2,0,0.0017070379869656982,0.0013301745816844954,0.0007466732859289228,1.0
2019-01-30 10:00:00,2019-01-30 03:00:00,1.59132,3478,0.005541372192983118,1.5964779166666667,1.5961077354709419,2,1,0.0019127886510081906,0.0016823439340178936,0.0002732444826942793,0.0
2019-01-30 21:00:00,2019-01-30 13:00:00,1.58776,3478,0.007472497098359732,1.5936325,1.5971296192384767,2,1,0.0015000516267442696,0.001372241672336738,0.002083186621587574,0.0
2019-01-30 21:00:00,2019-01-30 14:00:00,1.58919,3478,0.007296708641586047,1.5932925,1.5972262124248495,2,1,0.001525296649335317,0.001358026042974414,0.0007784119104712327,0.0
2019-01-30 21:00:00,2019-01-30 12:00:00,1.5868799999999998,3478,0.009188130817826544,1.5940045833333334,1.5970330260521042,2,1,0.002971740659108102,0.0019489522656623848,0.0028423028208173213,0.0
2019-01-31 11:00:00,2019-01-31 03:00:00,1.58421,3478,0.007840344272966426,1.58723625,1.5884116833667334,3,1,0.002170942287335276,0.002046589110479058,0.00018242079001984382,0.0
2019-01-31 12:00:00,2019-01-31 04:00:00,1.58303,3478,0.007805345895966377,1.58694,1.5883038076152305,3,1,0.00244737502806891,0.0017287217166030988,0.0008876053917548088,0.0
2019-01-31 17:00:00,2019-01-31 06:00:00,1.5827,3478,0.009359501248387579,1.58632375,1.5879264328657314,3,1,0.0031070228556076,0.001217406545993338,0.0001509696784798287,0.0
